Voie;Code ID commune;Code postal;Commune;Code departement;Code commune;CODE;Unnamed: 15;Unnamed: 16;No Volume;Unnamed: 18;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales
DE LA REPUBLIQUE;1356;45000.0;ORLEANS;45;234;45234;;;;;175,05;;;;;;;;;2;2;Appartement;;142;5
D AMBERT;1355;45800.0;ST JEAN DE BRAYE;45;284;45284;;;;;48,13;;;;;;;;;1;2;Appartement;;48;2
DU PONT BORDEAU;1355;45800.0;ST JEAN DE BRAYE;45;284;45284;;;;;76,49;;;;;;;;;2;2;Appartement;;76;4
DE ST MESMIN;1367;45750.0;SAINT-PRYVE-SAINT-MESMIN;45;298;45298;;;;;27,01;;;;;;;;;1;2;Appartement;;32;1
DURANTON;1396;47000.0;AGEN;47;1;47001;;;;;69,42;;;;;;;;;1;2;Appartement;;70;2
VAUVERT;1419;49100.0;ANGERS;49;7;49007;;;;;37,86;;;;;;;;;1;2;Appartement;;38;2
DE COUTANCES;1452;50350.0;DONVILLE-LES-BAINS;50;165;50165;;;;;55;;;;;;;;;1;2;Appartement;;53;3
LES MAISONS DE LA PLAGE;1467;50770.0;PIROU;50;403;50403;;;;;34;;;;;;;;;1;1;Maison;;33;2
DE REIMS;1482;51200.0;EPERNAY;51;230;51230;;;;;64,64;;;;;;;;;1;2;Appartement;;74;3
BEATRIX DE GAVRE;1507;53000.0;LAVAL;53;130;53130;;;;;31,34;;;;;;;;;1;2;Appartement;;38;2
PAUL BOUDET;1507;53000.0;LAVAL;53;130;53130;;;;;60,06;;;;;;;;;1;2;Appartement;;63;3
EMILE ZOLA;1519;54250.0;CHAMPIGNEULLES;54;115;54115;;;;;42,29;;;;;;;;;1;2;Appartement;;45;2
SERGENT BLANDAN;1512;54000.0;NANCY;54;395;54395;;;;;16;;;;;;;;;1;2;Appartement;;16;1
EMILE GALLE;1512;54000.0;NANCY;54;395;54395;;;;;98,52;;;;;;;;;1;2;Appartement;;89;4
PIERRE MENDES FRANCE;1622;58660.0;COULANGES LES NEVERS;58;88;58088;;;;;70,21;;;;;;;;;1;1;Maison;;73;3
ESQUERMOISE;1625;59800.0;LILLE;59;350;59350;;;;;111,94;;;;;;;;;2;2;Appartement;;120;5
FRANKLIN;1625;59800.0;LILLE;59;350;59350;;;;;48,04;;;;;;;;;1;2;Appartement;;48;2
ROGER SALENGRO;1650;59120.0;LOOS;59;360;59360;;;;;78,15;;;;;;;;;1;2;Appartement;;80;4
DE NOYON;1718;60200.0;COMPIEGNE;60;159;60159;;;;;81,02;;;;;;;;;1;2;Appartement;;88;3
DE LA REPUBLIQUE;1699;60110.0;MERU;60;395;60395;;;;;44,91;;;;;;;;;2;2;Appartement;;64;4
MUTINOT;1805;62200.0;BOULOGNE SUR MER;62;160;62160;;;;;89,5;;;;;;;;;1;2;Appartement;;90;4
DES COQUELICOTS;1957;69530.0;BRIGNAIS;69;27;69027;;;;;96,48;;;;;;;;;1;1;Maison;;96;4
DE LA REPUBLIQUE;1986;69410.0;CHAMPAGNE-AU-MONT-D OR;69;40;69040;;;;;51,22;;;;;;;;;2;2;Appartement;;51;2
DE PONTCHARRA;2021;69490.0;SAINT-FORGEUX;69;200;69200;;;;;56,74;;;;;;;;;1;2;Appartement;;60;2
DE LA CROIX PIVORT;1955;69110.0;SAINTE FOY LES LYON;69;202;69202;;;;;64,31;;;;;;;;;1;2;Appartement;;64;3
PIERRE PASQUIER;2007;69400.0;VILLEFRANCHE;69;264;69264;;;;;63,98;;;;;;;;;1;2;Appartement;;62;3
DE STRASBOURG;1914;69140.0;RILLIEUX-LA-PAPE;69;286;69286;;;;;58,7;;;;;;;;;1;2;Appartement;;58;2
PIERRE SCIZE;1909;69005.0;LYON 5EME;69;385;69385;;;;;78,87;;;;;;;;;1;2;Appartement;;82;3
DU CHATEAU DE LA DUCHERE;1910;69009.0;LYON 9EME;69;389;69389;;;;;57,84;;;;;;;;;2;2;Appartement;;53;3
PROFESSEUR PATEL;1910;69009.0;LYON 9EME;69;389;69389;;;;;116,21;;;;;;;;;2;2;Appartement;;118;6
BARON BOUVIER;2038;70000.0;VESOUL;70;550;70550;;;;;105,35;;;;;;;;;1;2;Appartement;;62;4
DE SOUS CASSAN;2131;74100.0;ANNEMASSE;74;12;74012;;;;;62,26;;;;;;;;;1;2;Appartement;;60;4
DE LA FERRONNERIE;3196;75001.0;PARIS 01;75;101;75101;;;;;31,91;;;;;;;;;1;2;Appartement;;32;1
JEAN JACQUES ROUSSEAU;3196;75001.0;PARIS 01;75;101;75101;;;;;11,51;;;;;;;;;2;2;Appartement;;8;1
MONTMARTRE;3214;75002.0;PARIS 02;75;102;75102;;;;;49,26;;;;;;;;;1;2;Appartement;;46;2
MONTMARTRE;3214;75002.0;PARIS 02;75;102;75102;;;;;35,02;;;;;;;;;2;2;Appartement;;33;3
DE MONTMORENCY;3195;75003.0;PARIS 03;75;103;75103;;;;;35,56;;;;;;;;;1;2;Appartement;;35;3
ST LOUIS EN L ILE;3213;75004.0;PARIS 04;75;104;75104;;;;;24,65;;;;;;;;;1;2;Appartement;;40;1
SAINT JACQUES;3200;75005.0;PARIS 05;75;105;75105;;;;;95,8;;;;;;;;;2;2;Appartement;;92;3
DU CANIVET;3198;75006.0;PARIS 06;75;106;75106;;;;;44,14;;;;;;;;;1;2;Appartement;;40;1
DU COLISEE;3197;75008.0;PARIS 08;75;108;75108;;;;;24,95;;;;;;;;;4;2;Appartement;;34;3
DE COURCELLES;3197;75008.0;PARIS 08;75;108;75108;;;;;18,42;;;;;;;;;1;2;Appartement;;17;1
PIERRE SEMARD;3202;75009.0;PARIS 09;75;109;75109;;;;;68,23;;;;;;;;;1;2;Appartement;;69;4
DE PARADIS;3201;75010.0;PARIS 10;75;110;75110;;;;;130,69;;;;;;;;;3;2;Appartement;;142;5
DES PETITES ECURIES;3201;75010.0;PARIS 10;75;110;75110;;;;;18,08;;;;;;;;;2;2;Appartement;;25;1
DES GONCOURT;3203;75011.0;PARIS 11;75;111;75111;;;;;26,48;;;;;;;;;2;2;Appartement;;26;2
DU CHEMIN VERT;3203;75011.0;PARIS 11;75;111;75111;;;;;34,25;;;;;;;;;2;2;Appartement;;32;2
DE MONTREUIL;3203;75011.0;PARIS 11;75;111;75111;;;;;52,55;;;;;;;;;1;2;Appartement;;53;3
DU MAINE;3206;75014.0;PARIS 14;75;114;75114;;;;;68,6;;;;;;;;;1;2;Appartement;;69;3
MAURICE ROUVIER;3206;75014.0;PARIS 14;75;114;75114;;;;;36,22;;;;;;;;;2;2;Appartement;;30;2
DE VAUGIRARD;3207;75015.0;PARIS 15;75;115;75115;;;;;9,74;;;;;;;;;1;2;Appartement;;11;1
ERLANGER;3208;75016.0;PARIS 16;75;116;75116;;;;;116,12;;;;;;;;;1;2;Appartement;;109;4
PIERRE GUERIN;3208;75016.0;PARIS 16;75;116;75116;;;;;48,82;;;;;;;;;2;2;Appartement;;50;3
PIERRE DEMOURS;3209;75017.0;PARIS 17;75;117;75117;;;;;79,18;;;;;;;;;1;2;Appartement;;77;4
AMPERE;3209;75017.0;PARIS 17;75;117;75117;;;;;212,71;;;;;;;;;2;2;Appartement;;214;6
LECHAPELAIS;3209;75017.0;PARIS 17;75;117;75117;;;;;24,74;;;;;;;;;1;2;Appartement;;24;2
NOLLET;3209;75017.0;PARIS 17;75;117;75117;;;;;65,67;;;;;;;;;2;2;Appartement;;63;3
BELLIARD;3210;75018.0;PARIS 18;75;118;75118;;;;;26;;;;;;;;;1;2;Appartement;;30;2
MARCADET;3210;75018.0;PARIS 18;75;118;75118;;;;;43,04;;;;;;;;;4;2;Appartement;;43;3
DE MEAUX;3212;75019.0;PARIS 19;75;119;75119;;;;;10,03;;;;;;;;;1;2;Appartement;;10;1
COMPANS;3212;75019.0;PARIS 19;75;119;75119;;;;;92,3;;;;;;;;;1;2;Appartement;;92;1
MANIN;3212;75019.0;PARIS 19;75;119;75119;;;;;71,52;;;;;;;;;1;2;Appartement;;66;2
DE L EST;3211;75020.0;PARIS 20;75;120;75120;;;;;20,36;;;;;;;;;1;2;Appartement;;20;1
DU CAPITAINE MARCHAL;3211;75020.0;PARIS 20;75;120;75120;;;;;19,95;;;;;;;;;1;2;Appartement;;20;1
GAMBETTA;3211;75020.0;PARIS 20;75;120;75120;;;;;43,8;;;;;;;;;1;2;Appartement;;55;3
DE LAGNY;3211;75020.0;PARIS 20;75;120;75120;;;;;21,07;;;;;;;;;2;2;Appartement;;22;2
SYLVESTRE DUMESNIL;2234;76430.0;SAINT-ROMAIN-DE-COLBOSC;76;647;76647;;;;;64,02;;;;;;;;;1;1;Maison;;45;2
CHARLES LEFEBVRE;2290;77210.0;AVON;77;14;77014;;;;;59,13;;;;;;;;;2;2;Appartement;;59;3
DE LA GARE;2290;77210.0;AVON;77;14;77014;;;;;43,6;;;;;;;;;1;2;Appartement;;43;1
AVE DE GAULLE 27 FOUGERES;2290;77210.0;AVON;77;14;77014;;;;;56,32;;;;;;;;;2;2;Appartement;;57;3
DES GUINANDIERS;2369;77700.0;BAILLY-ROMAINVILLIERS;77;18;77018;;;;;68,23;;;;;;;;;1;2;Appartement;;70;4
PARMENTIER;2345;77500.0;CHELLES;77;108;77108;;;;;66,33;;;;;;;;;1;2;Appartement;;66;3
BERANGER;2288;77300.0;FONTAINEBLEAU;77;186;77186;;;;;48,46;;;;;;;;;2;2;Appartement;;47;2
DU CENTRE;2263;77127.0;LIEUSAINT;77;251;77251;;;;;64,23;;;;;;;;;1;2;Appartement;;63;3
DU HARAS;2363;77185.0;LOGNES;77;258;77258;;;;;37,52;;;;;;;;;1;2;Appartement;;37;2
GDE ALL DE LA FAISANDERIE;2363;77185.0;LOGNES;77;258;77258;;;;;84,62;;;;;;;;;1;2;Appartement;;83;4
DES LABOURS;2365;77700.0;MAGNY-LE-HONGRE;77;268;77268;;;;;78,34;;;;;;;;;1;2;Appartement;;79;4
FATOU;2342;77100.0;MEAUX;77;284;77284;;;;;123,02;;;;;;;;;1;1;Maison;;129;4
DE PARIS;2353;77400.0;POMPONNE;77;372;77372;;;;;38,64;;;;;;;;;1;2;Appartement;;31;1
LUCIEN BRUNET;2272;77340.0;PONTAULT COMBAULT;77;373;77373;;;;;28,54;;;;;;;;;1;2;Appartement;;28;1
DES VIOLETTES;2281;77680.0;ROISSY-EN-BRIE;77;390;77390;;;;;59,4;;;;;;;;;1;2;Appartement;;60;3
DES GRISARDES;2286;77140.0;SAINT-PIERRE-LES-NEMOURS;77;431;77431;;;;;88,28;;;;;;;;;1;1;Maison;;84;4
DES TERRASSES;2344;77200.0;TORCY;77;468;77468;;;;;114,4;;;;;;;;;1;2;Appartement;;135;7
DE LA CARAVELLE;2344;77200.0;TORCY;77;468;77468;;;;;122,77;;;;;;;;;1;1;Maison;;119;6
DU GRAND BREUIL;2344;77200.0;TORCY;77;468;77468;;;;;92,34;;;;;;;;;1;2;Appartement;;93;5
DE LAGNY;2375;77410.0;VILLEVAUDE;77;517;77517;;;;;57,8;;;;;;;;;1;2;Appartement;;62;4
JACQUES TATI;2409;78390.0;BOIS D ARCY;78;73;78073;;;;;24,2;;;;;;;;;1;2;Appartement;;24;1
DES CHEVREFEUILLES;2506;78490.0;GALLUIS;78;262;78262;;;;;80;;;;;;;;;1;1;Maison;;78;4
PHILIBERT DELORME;2414;78280.0;GUYANCOURT;78;297;78297;;;;;49,44;;;;;;;;;1;2;Appartement;;48;2
DE DIANE;2417;78350.0;JOUY EN JOSAS;78;322;78322;;;;;75,02;;;;;;;;;1;2;Appartement;;78;3
LECLERC DE HAUTECLOQUE;2408;78210.0;SAINT-CYR-L ECOLE;78;545;78545;;;;;55,9;;;;;;;;;2;2;Appartement;;55;3
WALDECK ROUSSEAU;2562;81100.0;CASTRES;81;65;81065;;;;;71,7;;;;;;;;;1;2;Appartement;;74;3
D ELIE;2566;82000.0;MONTAUBAN;82;121;82121;;;;;73,56;;;;;;;;;1;2;Appartement;;76;4
CHARLES GOUNOD;2634;83150.0;BANDOL;83;9;83009;;;;;27,52;;;;;;;;;1;2;Appartement;;18;2
ERNEST RENAN;2642;83190.0;OLLIOULES;83;90;83090;;;;;61,03;;;;;;;;;1;2;Appartement;;65;3
DE L HOSPICE;2599;83440.0;SEILLANS;83;124;83124;;;;;43,3;;;;;;;;;3;2;Appartement;;34;2
119 DIT DU VIEUX REYNIER;2623;83500.0;LA SEYNE SUR MER;83;126;83126;;;;;97;;;;;;;;;1;2;Appartement;;80;4
DES GALETS;2626;83140.0;SIX-FOURS-LES-PLAGES;83;129;83129;;;;;49,58;;;;;;;;;2;2;Appartement;;50;2
GABRIEL PERI;2636;83210.0;SOLLIES-PONT;83;130;83130;;;;;70,71;;;;;;;;;1;2;Appartement;;70;3
DU PIN ROLLAND;2630;83430.0;SAINT-MANDRIER-SUR-MER;83;153;83153;;;;;68,17;;;;;;;;;2;2;Appartement;;67;4
CHARLES DE GAULLE;2663;84130.0;LE PONTET;84;92;84092;;;;;64,23;;;;;;;;;1;2;Appartement;;65;3
DE LA MER;2724;85340.0;SABLES-D'OLONNE (LES);85;194;85194;;;;;92,23;;;;;;;;;1;1;Maison;;92;4
GD VOILIER 2 MERLIN MARINE;2717;85270.0;SAINT-HILAIRE-DE-RIEZ;85;226;85226;;;;;20,36;;;;;;;;;1;2;Appartement;;20;1
DE LA MER;2731;85160.0;SAINT-JEAN-DE-MONTS;85;234;85234;;;;;29,11;;;;;;;;;1;2;Appartement;;30;1
DE LA PLAGE;2721;85460.0;FAUTE-SUR-MER (LA);85;307;85307;;;;;28,01;;;;;;;;;1;2;Appartement;;30;2
GARIBALDI;2745;87000.0;LIMOGES;87;85;87085;;;;;15,29;;;;;;;;;1;2;Appartement;;15;1
GRAND RUE;2787;88250.0;LA BRESSE;88;75;88075;;;;;77,19;;;;;;;;;1;2;Appartement;;91;7
D ALSACE;2760;88000.0;DEYVILLERS;88;132;88132;;;;;78;;;;;;;;;2;2;Appartement;;72;3
DES BICHES;2820;91800.0;BRUNOY;91;114;91114;;;;;17,51;;;;;;;;;1;2;Appartement;;14;1
DE MONTJAY;2928;91440.0;BURES SUR YVETTE;91;122;91122;;;;;74,73;;;;;;;;;1;1;Maison;;89;4
GRANDES COUDRAIES;2922;91190.0;GIF SUR YVETTE;91;272;91272;;;;;14,4;;;;;;;;;1;2;Appartement;;15;1
WURTZ;2850;91260.0;JUVISY SUR ORGE;91;326;91326;;;;;35,96;;;;;;;;;1;2;Appartement;;35;2
RTE NATIONALE;2902;91510.0;LARDY;91;330;91330;;;;;66,2;;;;;;;;;1;1;Maison;;72;3
PDT FRANCOIS MITTERRAND;2852;91160.0;LONGJUMEAU;91;345;91345;;;;;37,12;;;;;;;;;1;2;Appartement;;38;2
DE GANAY;2893;91490.0;MILLY-LA-FORET;91;405;91405;;;;;26,25;;;;;;;;;1;2;Appartement;;35;1
VERLAINE;2832;91230.0;MONTGERON;91;421;91421;;;;;44,14;;;;;;;;;2;2;Appartement;;40;2
DU DOCTEUR OGE;2869;91310.0;MONTLHERY;91;425;91425;;;;;52,07;;;;;;;;;2;2;Appartement;;52;2
DE TREVOIX;2880;91340.0;OLLAINVILLE;91;461;91461;;;;;46,26;;;;;;;;;4;2;Appartement;;45;2
EDMOND BONTE;2839;91130.0;RIS-ORANGIS;91;521;91521;;;;;31,12;;;;;;;;;2;2;Appartement;;32;2
JEAN JAURES;2839;91130.0;RIS-ORANGIS;91;521;91521;;;;;67,27;;;;;;;;;2;2;Appartement;;67;4
DES CHENES;2834;91270.0;VIGNEUX SUR SEINE;91;657;91657;;;;;34,01;;;;;;;;;1;2;Appartement;;35;2
CHAMPLAIN;2859;91170.0;VIRY CHATILLON;91;687;91687;;;;;117,1;;;;;;;;;1;1;Maison;;116;5
FERNAND LEGER;2855;91320.0;WISSOUS;91;689;91689;;;;;43,81;;;;;;;;;2;2;Appartement;;44;2
DU CIDRIER;2855;91320.0;WISSOUS;91;689;91689;;;;;59,02;;;;;;;;;2;2;Appartement;;59;3
PIERRE LOTI;2825;91330.0;YERRES;91;691;91691;;;;;83,2;;;;;;;;;2;2;Appartement;;83;4
DES PARISIENS;2948;92600.0;ASNIERES-SUR-SEINE;92;4;92004;;;;;42,5;;;;;;;;;2;2;Appartement;;44;2
DES PEUPLIERS;2955;92100.0;BOULOGNE-BILLANCOURT;92;12;92012;;;;;64,03;;;;;;;;;2;2;Appartement;;62;3
DES ABONDANCES;2955;92100.0;BOULOGNE-BILLANCOURT;92;12;92012;;;;;70,21;;;;;;;;;1;2;Appartement;;76;3
HENRI MARROU;2965;92290.0;CHATENAY-MALABRY;92;19;92019;;;;;64,03;;;;;;;;;2;2;Appartement;;64;3
DE PARIS;2975;92320.0;CHATILLON;92;20;92020;;;;;64,6;;;;;;;;;2;2;Appartement;;65;4
DE VANVES;2975;92320.0;CHATILLON;92;20;92020;;;;;73,53;;;;;;;;;1;2;Appartement;;71;3
DE VERDUN;2945;92400.0;COURBEVOIE;92;26;92026;;;;;43,05;;;;;;;;;1;2;Appartement;;45;3
LEON MAURICE NORDMANN;2947;92250.0;LA GARENNE-COLOMBES;92;35;92035;;;;;44,4;;;;;;;;;2;2;Appartement;;40;2
PIERRE LAROUSSE;2977;92240.0;MALAKOFF;92;46;92046;;;;;52,97;;;;;;;;;2;2;Appartement;;54;2
HENRI GINOUX;2968;92120.0;MONTROUGE;92;49;92049;;;;;72,42;;;;;;;;;3;2;Appartement;;75;4
GAMBETTA;2943;92150.0;SURESNES;92;73;92073;;;;;51,94;;;;;;;;;1;2;Appartement;;51;2
GARDENAT LAPOSTOL;2943;92150.0;SURESNES;92;73;92073;;;;;45,72;;;;;;;;;2;2;Appartement;;46;2
DES BAS ROGERS;2943;92150.0;SURESNES;92;73;92073;;;;;43,86;;;;;;;;;1;2;Appartement;;44;2
DU QUATRE SEPTEMBRE;2972;92170.0;VANVES;92;75;92075;;;;;74,18;;;;;;;;;1;2;Appartement;;76;3
QUESNAY;3005;93190.0;LIVRY-GARGAN;93;46;93046;;;;;39,52;;;;;;;;;2;2;Appartement;;39;2
ANTOINE WATTEAU;3010;93360.0;NEUILLY-PLAISANCE;93;49;93049;;;;;62,38;;;;;;;;;2;2;Appartement;;62;3
ARISTIDE BRIAND;2984;93320.0;LES PAVILLONS-SOUS-BOIS;93;57;93057;;;;;66,41;;;;;;;;;2;2;Appartement;;75;3
PIERRE CURIE;2979;93230.0;ROMAINVILLE;93;63;93063;;;;;54,73;;;;;;;;;1;2;Appartement;;54;3
DU PRE GENTIL;3017;93110.0;ROSNY-SOUS-BOIS;93;64;93064;;;;;96,01;;;;;;;;;1;1;Maison;;90;4
CRISTINO GARCIA;2993;93210.0;SAINT-DENIS;93;66;93066;;;;;40,2;;;;;;;;;2;2;Appartement;;40;2
DIDIER DAURAT;3038;94550.0;CHEVILLY-LARUE;94;21;94021;;;;;84,89;;;;;;;;;2;2;Appartement;;89;4
DU PT ROOSEVELT;3064;94120.0;FONTENAY-SOUS-BOIS;94;33;94033;;;;;62,11;;;;;;;;;2;2;Appartement;;66;2
VEROLLOT;3028;94200.0;IVRY-SUR-SEINE;94;41;94041;;;;;86,73;;;;;;;;;1;1;Maison;;86;4
JEAN JAURES;3028;94200.0;IVRY-SUR-SEINE;94;41;94041;;;;;10,2;;;;;;;;;1;2;Appartement;;20;1
JEAN LE GALLEU;3028;94200.0;IVRY-SUR-SEINE;94;41;94041;;;;;31,9;;;;;;;;;1;2;Appartement;;32;2
DESCARTES;3050;94450.0;LIMEIL-BREVANNES;94;44;94044;;;;;58,05;;;;;;;;;1;2;Appartement;;58;3
MAURICE LISSAC;3024;94700.0;MAISONS-ALFORT;94;46;94046;;;;;45,68;;;;;;;;;2;2;Appartement;;45;2
CLAUDE BERNARD;3037;94310.0;ORLY;94;54;94054;;;;;49,53;;;;;;;;;1;2;Appartement;;49;2
DES CHENES;3053;94420.0;LE PLESSIS-TREVISE;94;59;94059;;;;;68,67;;;;;;;;;2;2;Appartement;;69;4
DE TUNIS;3021;94100.0;SAINT-MAUR-DES-FOSSES;94;68;94068;;;;;28,45;;;;;;;;;2;2;Appartement;;31;1
DU GENERAL DE GAULLE;3048;94350.0;VILLIERS-SUR-MARNE;94;79;94079;;;;;41,29;;;;;;;;;1;2;Appartement;;28;1
DE LA PAIX;3061;94300.0;VINCENNES;94;80;94080;;;;;52,27;;;;;;;;;1;2;Appartement;;53;3
STALINGRAD;3155;95100.0;ARGENTEUIL;95;18;95018;;;;;61,56;;;;;;;;;1;2;Appartement;;60;3
JULES CESAR;3144;95250.0;BEAUCHAMP;95;51;95051;;;;;50,78;;;;;;;;;1;2;Appartement;;50;2
DE L EMBELLIE;3078;95800.0;CERGY;95;127;95127;;;;;38,61;;;;;;;;;1;2;Appartement;;38;2
GEORGES JOYEUX;3109;95440.0;ECOUEN;95;205;95205;;;;;23,08;;;;;;;;;1;2;Appartement;;24;1
DU GENERAL DE GAULLE;3140;95880.0;ENGHIEN LES BAINS;95;210;95210;;;;;27,33;;;;;;;;;2;2;Appartement;;25;2
VAN GOGH;3134;95120.0;ERMONT;95;219;95219;;;;;75,01;;;;;;;;;2;2;Appartement;;81;5
JEAN JACQUES ROUSSEAU;3134;95120.0;ERMONT;95;219;95219;;;;;59,99;;;;;;;;;2;2;Appartement;;61;3
JULES CESAR;3136;95130.0;FRANCONVILLE LA GARENNE;95;252;95252;;;;;61,1;;;;;;;;;1;2;Appartement;;60;3
DES ADAGES;3154;95220.0;HERBLAY-SUR-SEINE;95;306;95306;;;;;87,64;;;;;;;;;1;1;Maison;;72;4
DE MONTIGNY;3154;95220.0;HERBLAY-SUR-SEINE;95;306;95306;;;;;89,09;;;;;;;;;2;2;Appartement;;90;5
DU PALLADIO;3073;95290.0;L'ISLE-ADAM;95;313;95313;;;;;75,57;;;;;;;;;2;2;Appartement;;78;4
MAURICE UTRILLO;3150;95360.0;MONTMAGNY;95;427;95427;;;;;69,37;;;;;;;;;2;2;Appartement;;70;4
PAUL CEZANNE;3111;95200.0;SARCELLES;95;585;95585;;;;;60;;;;;;;;;1;2;Appartement;;60;3
LE PATIO D ACAJOU;3168;97232.0;LE LAMENTIN;972;213;97213;;;;;41,32;;;;;;;;;1;2;Appartement;;42;2
JEAN MONNET;10;1500.0;AMBERIEU-EN-BUGEY;1;4;1004;;;;;54,65;;;;;;;;;1;2;Appartement;;55;2
CLOS CHAMP VRILLARD;11;1170.0;CESSY;1;71;1071;;;;;105,68;;;;;;;;;1;1;Maison;;143;6
SIMON VAN DER MEER;20;1280.0;PREVESSIN-MOENS;1;313;1313;;;;;87,38;;;;;;;;;1;2;Appartement;;89;4
PORTE CROUY;62;2200.0;SOISSONS;2;722;2722;;;;;37,18;;;;;;;;;6;2;Appartement;;75;2
JEAN DELAPLACE;62;2200.0;SOISSONS;2;722;2722;;;;;79,27;;;;;;;;;1;1;Maison;;81;4
SERRE PAIX;116;5100.0;BRIANCON;5;23;5023;;;;;62,38;;;;;;;;;2;2;Appartement;;70;3
LA CHAPELLE;122;5800.0;LA CHAPELLE-EN-VALGAUDEMAR;5;64;5064;;;;;69,45;;;;;;;;;2;2;Appartement;;65;3
DU RESERVOIR;151;6240.0;BEAUSOLEIL;6;12;6012;;;;;67,78;;;;;;;;;2;2;Appartement;;68;3
COURS DU ONZE NOVEMBRE;226;6800.0;CAGNES SUR MER;6;27;6027;;;;;31,8;;;;;;;;;1;2;Appartement;;31;1
DES BUISSONS ARDENTS;210;6150.0;CANNES;6;29;6029;;;;;44,65;;;;;;;;;1;2;Appartement;;45;2
GEORGES CLEMENCEAU;209;6400.0;CANNES;6;29;6029;;;;;86,01;;;;;;;;;1;2;Appartement;;85;3
DU NORD;201;6110.0;LE CANNET;6;30;6030;;;;;39,86;;;;;;;;;1;2;Appartement;;45;2
JACQUES DEMAS;181;6830.0;GILETTE;6;66;6066;;;;;57,45;;;;;;;;;1;2;Appartement;;57;3
DU MOULIN;150;6190.0;ROQUEBRUNE CAP MARTIN;6;104;6104;;;;;16,2;;;;;;;;;1;2;Appartement;;18;1
DE LA LIBERTE;203;6220.0;VALLAURIS;6;155;6155;;;;;27,63;;;;;;;;;1;2;Appartement;;30;1
COTE SUD 2;300;11430.0;GRUISSAN;11;170;11170;;;;;53,81;;;;;;;;;1;1;Maison;;55;4
LES CYCLADES PORT LEUCATE;301;11370.0;LEUCATE;11;202;11202;;;;;25,35;;;;;;;;;1;2;Appartement;;25;2
LES PLAGES D'ARGOS;301;11370.0;LEUCATE;11;202;11202;;;;;27,93;;;;;;;;;1;2;Appartement;;27;2
ELZEARD PREVOST;329;13260.0;CASSIS;13;22;13022;;;;;28,22;;;;;;;;;2;2;Appartement;;30;2
DU PUITS ARMAND;338;13124.0;PEYPIN;13;73;13073;;;;;84;;;;;;;;;1;2;Appartement;;85;4
POIDS DE LA FARINE;315;13001.0;MARSEILLE 1ER;13;201;13201;;;;;19,18;;;;;;;;;1;2;Appartement;;25;1
ELZEARD ROUGIER;314;13004.0;MARSEILLE 4EME;13;204;13204;;;;;67,4;;;;;;;;;2;2;Appartement;;68;4
D AUBAGNE;324;13006.0;MARSEILLE 6EME;13;206;13206;;;;;20,97;;;;;;;;;1;2;Appartement;;17;1
NAU;324;13006.0;MARSEILLE 6EME;13;206;13206;;;;;61,07;;;;;;;;;1;2;Appartement;;72;3
DE LA CORDERIE;322;13007.0;MARSEILLE 7EME;13;207;13207;;;;;63,79;;;;;;;;;1;2;Appartement;;80;2
DU COMMANDANT ROLLAND;327;13008.0;MARSEILLE 8EME;13;208;13208;;;;;14,55;;;;;;;;;1;2;Appartement;;14;1
DU REDON;325;13009.0;MARSEILLE 9EME;13;209;13209;;;;;68,37;;;;;;;;;2;2;Appartement;;76;3
DU REDON;325;13009.0;MARSEILLE 9EME;13;209;13209;;;;;55,49;;;;;;;;;2;2;Appartement;;66;3
BOUYALA D ARNAUD;343;13012.0;MARSEILLE 12EME;13;212;13212;;;;;58,27;;;;;;;;;1;2;Appartement;;58;3
RABELAIS;316;13016.0;MARSEILLE 16EME;13;216;13216;;;;;34,75;;;;;;;;;1;2;Appartement;;39;2
RES QUAI SUD;369;14160.0;DIVES-SUR-MER;14;225;14225;;;;;42,66;;;;;;;;;1;2;Appartement;;41;2
EMILE ATGIER;397;17410.0;SAINT-MARTIN-DE-RE;17;369;17369;;;;;54,39;;;;;;;;;2;2;Appartement;;56;2
DOC ROUX;425;19100.0;BRIVE LA GAILLARDE;19;31;19031;;;;;49,07;;;;;;;;;1;2;Appartement;;51;2
DE PEN GUEN;448;22380.0;SAINT-CAST-LE-GUILDO;22;282;22282;;;;;42,05;;;;;;;;;1;2;Appartement;;39;2
LAJUGIE;472;24100.0;BERGERAC;24;37;24037;;;;;78,56;;;;;;;;;1;2;Appartement;;79;3
D ARENES;480;25000.0;BESANCON;25;56;25056;;;;;17,47;;;;;;;;;1;2;Appartement;;34;2
DE LA REPUBLIQUE;517;26300.0;BOURG-DE-PEAGE;26;57;26057;;;;;21,9;;;;;;;;;1;2;Appartement;;21;1
SULLY;519;26500.0;BOURG LES VALENCE;26;58;26058;;;;;50,97;;;;;;;;;2;2;Appartement;;53;3
EDEN;512;26100.0;ROMANS-SUR-ISERE;26;281;26281;;;;;58,57;;;;;;;;;2;2;Appartement;;59;3
MARX DORMOY;513;26000.0;VALENCE;26;362;26362;;;;;57,25;;;;;;;;;2;2;Appartement;;54;3
SAINT DENIS;551;27000.0;EVREUX;27;229;27229;;;;;46,46;;;;;;;;;2;2;Appartement;;46;2
